id,regel,modul,severity,status,location,titel,problem,vorschlag,confidence
149,architektur,Admin & System,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Phase/TaskPhaseController.php:1-1697,TaskPhaseController ist ein Fat Controller mit 1697 Zeilen und vermischter Verantwortung,"Der Controller enthält CRUD für TaskPhase, Duplikat-Bereinigung für PhaseSections, Master-Set-Verknüpfungslogik, Baum-Traversal (descendantIds, duplicateActivityTree), Transfer- und Resequencing-Algorithmen sowie mehrere AJAX-Datenabruf-Endpunkte. Geschäftslogik (Baum-Duplikation, Cleanup-Algorithmen) gehört in Service-Klassen. Zusätzlich: 10 Debug-Log::info()-Aufrufe mit vollen Request-Daten sind in der Produktion aktiv.","Service-Klassen extrahieren (z. B. PhaseTransferService, PhaseSectionCleanupService). Log::info-Aufrufe auf Log::debug umstellen oder entfernen.",hoch
150,architektur,Querschnitt,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/User/UserController.php:383,UserController: 17 DB-Writes ohne eine einzige DB::transaction(),"17 ->save()-Aufrufe verteilt über den Controller, ohne Transaktionsschutz. Konkret: L383 $user->save() und L387 $employee->save() direkt hintereinander ohne Transaktion. Wenn $user gespeichert wird, aber $employee->save() fehlschlägt (z.B. wegen Constraint), ist der User mit neuem Bild gespeichert, Employee aber nicht aktualisiert.","Jeden Bereich mit >1 DB-Write in DB::transaction() einwickeln. Für das Profilbild-Update (L382-388) mindestens: DB::transaction(function() use ($user, $employee, $imageName) { $user->save(); $employee?->save(); }).",hoch
151,architektur,Querschnitt,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Customer/NewLeadsController.php:6,Enge Kopplung: NewLeadsController importiert 53 Model-Klassen direkt,"53 use App\Models\*-Imports in einem Controller: NewLeads, Employee, Product, ArticleGroup, NewLeadImage, LeadProductList, LeadAlternativeAdd, CustomerAlternativeAdd, Leave, JobRepresentative, CustomerResponsible, NewLeadResponsibility, Image, CustomerProductList, Department, Customer, Branch, ImageCategory, Inquiry, Planing und weitere. Jede Model-Änderung kann alle 121 Controller-Methoden betreffen. Maximale strukturelle Kopplung.","Service-Klassen als Intermediäre einführen. Controller kennt nur seinen direkten Service, nicht alle dahinterliegenden Models. Dependency Injection per Konstruktor statt statischer Model-Aufrufe.",hoch
152,architektur,Querschnitt,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Wordpress/FusionFormSubmissionController.php:1,"FusionFormSubmissionController: 514 Zeilen, 2 Writes, keine Validierung, keine Transaktion","Verarbeitet externe WordPress-Formular-Einreichungen (L418: $inquiry->save(), L507: $inquiry->save()) ohne jegliche $request->validate()-Aufruf und ohne FormRequest. Beliebige externe Eingaben werden direkt in der Datenbank gespeichert. Kein Transaktionsschutz.",Sofort StoreFusionFormRequest mit Validierungsregeln für alle erwarteten Felder einführen. Writes in DB::transaction() kapseln. Sensible Felder mit sanitize()-Aufrufen schützen.,hoch
153,architektur,Querschnitt,mittel,unverifiziert (mittel/niedrig),app/Models/Employee.php:1,"Model-Bloat: Employee.php (485 Zeilen, 80+ Methoden) – alles in einem Model","485 Zeilen mit über 60 hasMany/belongsTo-Relationen (masterSetCarts, appointments, personalTasks, salaries, leaves, machineServicesProvided, machineFaultsDetected, createdInvoices, uploadedInvoiceFiles...) plus Business-Methoden (initials(), getDisplayNameAttribute()). Das Model kennt buchstäblich jeden anderen Teil der Anwendung und ist ein God-Object.","Nicht die Relationen entfernen, aber häufig verwendete Query-Kombinationen in EmployeeRepository oder EmployeeQueryService auslagern. Computed-Attribute (initials, displayName) in einen EmployeePresenter.",mittel
154,architektur,Querschnitt,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Customer/Kanban/LeadOverviewController.php:967,"LeadOverviewController::search() – 987-Zeilen-Methode ohne Service, mit 6 DB::table()-Calls","987-Zeilen-Suchmethode ohne Transaction, 6 direkte DB::table()-Aufrufe, kein Service. Die gesamte Lead-Suchlogik (Kanban-Filter, Paginierung, Mitarbeiter-Filter, Stage-Filter, Datums-Ranges) ist inline. Parallel dazu moveStageWorkflow (968L, L4824) mit 8 DB-Writes aber mit korrekter Transaktion.","LeadSearchService mit search(array $filters): Collection extrahieren. DB::table()-Aufrufe durch Eloquent-Scopes ersetzen (scopeByStage, scopeByEmployee, scopeByDateRange).",hoch
155,architektur,Querschnitt,mittel,unverifiziert (mittel/niedrig),"resources/views/admin/offer/configuration/offer/config.blade.php:1-25064, resources/views/admin/new_leads/customer_profile.blade.php:1-23145, resources/views/admin/offer/old/config.blade.php:1-21284",Blade-Dateien mit bis zu 25.000 Zeilen - schwere initiale HTML-Payload,Die drei größten Blades sind 21.000-25.000 Zeilen lang und rendern trotz konditioneller Abschnitte die meisten Bereiche im initialen HTML-Durchlauf. Das verlangsamt die Server-Render-Zeit (Blade-Compilation + Template-Rendering) und erhöht die initiale HTML-Größe für den Browser erheblich.,Große Sektionen in @include-Partials aufteilen. Lazy-Rendering für Tabs und Modals: Inhalt erst per AJAX-Endpoint laden wenn der Tab geöffnet wird (analog zum bestehenden Kanban-Muster). Blade-Templates mit php artisan view:cache in Production vorab kompilieren.,mittel
156,architektur,Querschnitt,mittel,unverifiziert (mittel/niedrig),"routes/web.php:1-5412, bootstrap/cache/",Fehlende Route-Cache-Datei bei 5.400 Zeilen routes/web.php,"Die Datei routes/web.php enthält über 5.400 Zeilen und mehr als 2.500 Route-Definitionen. Im bootstrap/cache/-Verzeichnis wurden keine vorkompilierten routes-*.php-Dateien gefunden. Laravel muss deshalb bei jedem Request alle 2.500+ Routen parsen und matchen, was mehrere Millisekunden Overhead pro Request bedeutet.","In Production/Staging php artisan route:cache und php artisan config:cache ausführen und in die Deployment-Pipeline aufnehmen. Routen in thematische Dateien (z. B. routes/planner.php, routes/inquiry.php) auslagern und in RouteServiceProvider registrieren.",hoch
157,blade,CRM – Kommunikation,mittel,unverifiziert (mittel/niedrig),resources/views/admin/chats/employee/chat.blade.php:1-700,Monster-View chat.blade.php mit ~1418 Zeilen Inline-CSS und Inline-JS,"Die Chat-View enthält mehrere aufeinanderfolgende <style>-Blöcke (insgesamt weit über 600 Zeilen CSS direkt im Blade-Template) und lädt gleichzeitig über @vite app.js und ein separates chat.js. CSS-Definitionen sind über mehrere Style-Tags verteilt (mindestens 4 separate <style>-Blöcke), was Wartung erschwert. Zusätzlich wird Tailwind via CDN (<script src='https://cdn.tailwindcss.com'>) eingebunden – im Widerspruch zur Vite-Pipeline.","CSS in eine dedizierte Datei (z.B. resources/css/chat.blade.css) auslagern und über Vite kompilieren. Tailwind-CDN entfernen, stattdessen den Vite-Build nutzen.",hoch
158,blade,CRM – Anfragen,mittel,unverifiziert (mittel/niedrig),"resources/views/admin/inquiry/contact_list.blade.php:1,209 / resources/views/admin/inquiry/contact.blade.php:13",Monster-Views mit massiv eingebettetem CSS/JS und Geschaeftslogik in @php-Bloecken,"contact_list.blade.php (4173 Zeilen): ein einzelner <style>-Block von ca. 630 Zeilen, 46 inline style=Attribute, 15 <script>-Bloecke, 3 @php-Sektionen mit Pagination-, Formatierungs- und Routing-Logik. contact.blade.php (5419 Zeilen): 8 eigenstaendige <style>-Bloecke. Beides ist nicht wiederverwendbar, schwer testbar und verlangsamt den Build. Dazu existieren drei Kopie-Dateien im oldCode/-Verzeichnis (contact.blade copy.php, contact_list.blade copy.php, contact_profile.blade copy.php) – toter Code mit 270 KB.","CSS in dedizierte .css-Dateien oder Tailwind-Klassen auslagern. Blade-Komponenten (@component) fuer wiederverwendete Bausteine (Zeilen, Karten, Badges) einsetzen. @php-Logik in ViewModel oder den Controller verschieben. Kopie-Dateien loeschen.",hoch
159,blade,CRM – Leads & Kunden,mittel,unverifiziert (mittel/niedrig),"resources/views/admin/new_leads/customer_profile.blade.php:23,1742,1888,2360,2771,3312,3527",Monster-Views mit massivem Inline-CSS und -JS,"customer_profile.blade.php ist 23.145 Zeilen lang mit 8 <style>-Blöcken und 82 <script>-Blöcken inline. customer_view.blade.php hat 9.860 Zeilen mit 20 <style>-Blöcken und 34 <script>-Blöcken. Inline-CSS/JS verhindert Browser-Caching, macht Debugging schwierig und erzwingt massive HTML-Downloads bei jeder Seitenlade.",CSS in dedizierte Dateien unter public/css/ auslagern und per asset() einbinden. JS in Vite/Laravel-Mix-Module auslagern. Blade-Datei in @include-Partials aufteilen.,hoch
160,blade,CRM – Partner,mittel,unverifiziert (mittel/niedrig),resources/views/admin/product/brand/brand.blade.php:48-584,Monster-View mit >500 Zeilen Inline-CSS direkt im Blade-Template,"Das Blade-Template enthält über 530 Zeilen reines CSS in einem @push('style')-Block mit vollständigem Design-System (Variablen, Layout, Modals, Toast, Animationen). Dieser Ansatz verhindert Wiederverwendung, erzeugt Redundanz gegenüber ähnlichen Views (contacts.blade.php hat denselben Ansatz mit eigenem CSS-System), erschwert Wartung und verletzt die Separation of Concerns.","CSS-Klassen in eine gemeinsame SCSS/CSS-Datei oder ein Blade-Komponenten-System auslagern. Das @once-Muster reduziert Duplikate bei mehrfachem Include, löst aber das grundsätzliche Architekturproblem nicht.",hoch
161,blade,Vertrieb – Angebote,mittel,unverifiziert (mittel/niedrig),resources/views/admin/offer/old/folder-show.blade copy.php und resources/views/admin/offer/old/index.blade copy.php und resources/views/admin/offer/configuration/offer/config.blade copy.php und resources/views/admin/offer/set/old code/sets.blade.php,Tote View-Dateien und 'blade copy.php'-Altlasten im Produktivpfad,"Mindestens 4 tote View-Dateien mit Dateinamen die Leerzeichen bzw. 'copy' enthalten befinden sich im View-Tree. config.blade copy.php und set/old code/sets.blade.php enthalten auch {!! $item->content !!} (Sets: Zeile 331) bzw. Leerzeichen im Pfad, was zu Deployment-Problemen führen kann. Diese Dateien werden vom Autoloader und IDE als aktive Code-Artefakte behandelt.",Alle .blade copy.php und old/*-Dateien in ein Git-separates Branch archivieren und aus dem Repo entfernen. 'set/old code'-Verzeichnis löschen.,hoch
162,blade,Projekte & Planer,mittel,unverifiziert (mittel/niedrig),resources/views/admin/todo/personal/task_view.blade.php:46,"Monster-View: task_view.blade.php mit 3909 Zeilen, 4 Inline-<style>- und 3 <script>-Blöcken","Die View `task_view.blade.php` hat 3909 Zeilen und enthält 4 separate `<style>`-Blöcke (Z. 46, 1788, 1906, 2058) sowie 3 `<script>`-Blöcke. Das deutet auf mehrfaches unkontrolliertes Hinzufügen von Stilen und Skripten hin. Ebenso ist `appointments/show.blade.php` mit 2559 Zeilen und inliniertem CSS/JS überdimensioniert.","CSS in dedizierte SCSS/CSS-Dateien auslagern, JS in separate Blade-Stacks oder Vite-Assets. View in kleinere Partials aufteilen (Board-Spalte, Filter-Bar, Modals). Bestehende Partials-Struktur im Verzeichnis nutzen.",hoch
163,blade,Support – Tickets,mittel,unverifiziert (mittel/niedrig),resources/views/admin/problem/profile.blade.php:1-3712,Monster-View: profile.blade.php mit 3712 Zeilen und 1549 Zeilen Inline-CSS,"Die Profil-View ist 3712 Zeilen lang und enthält einen einzigen <style>-Block mit 1549 Zeilen CSS sowie mehrere hundert Zeilen JavaScript. Die View importiert über @php direkt Laravel-Facades und führt Datenbankabfragen aus. Diese Größe macht Tests, Wartung und Code-Reviews praktisch unmöglich und verzögert das initiale Rendering.","CSS in eine dedizierte ticket-profile.css auslagern. JavaScript in eine ticket-profile.js auslagern. Die View in Blade-Komponenten aufteilen (z.B. x-ticket-sidebar, x-ticket-comments, x-ticket-appointments). DB-Logik in den Controller verschieben.",hoch
164,blade,Lager,mittel,unverifiziert (mittel/niedrig),"resources/views/admin/product/inventory/inventory.blade.php:67-735, resources/views/admin/product/delivery/index.blade.php:11-1049, resources/views/admin/assets/center.blade.php:10-231","Massive Inline-CSS-Blöcke in Lager-Views (668, 1038 und 221 Zeilen)","inventory.blade.php enthält 668 Zeilen Inline-CSS, delivery/index.blade.php sogar 1038 Zeilen, center.blade.php 221 Zeilen – alle inline per @push('style'). Es existieren keine dedizierten CSS-Dateien für diese Views. Browser können den CSS-Code nicht cachen; jede Seitenanforderung überträgt identischen CSS-Code neu.","CSS in dedizierte .css-Dateien unter public/css/ auslagern (z.B. inventory.css, delivery.css) und per <link rel=""stylesheet""> einbinden.",hoch
165,crud,CRM – Kommunikation,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Email/LeadEmailReaderController.php:1-414,Fehlende Delete-Funktion für empfangene Lead-E-Mails,"Das LeadEmail-Model hat kein Soft-Delete und der LeadEmailReaderController implementiert kein destroy(). Es gibt keine Route und keine UI-Schaltfläche zum Löschen einzelner E-Mails. Die Inbox wächst unbegrenzt, es gibt keinen Workflow zum Archivieren oder Löschen verarbeiteter E-Mails.","SoftDeletes zum LeadEmail-Model hinzufügen, eine DELETE-Route und Controller-Methode implementieren, einen 'Löschen'- oder 'Archivieren'-Button in der Inbox-View ergänzen.",hoch
166,crud,CRM – Partner,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Product/Brand/ExternalDepartmentsController.php:74-77,ExternalDepartmentsController.update ohne jegliche Validierung – Mass Assignment,"Die update()-Methode ruft ExternalDepartments::find($id)->update($request->all()) direkt ohne vorherige Validierung auf. Damit können beliebige Spalten überschrieben werden, die zufällig in $fillable stehen (external_id, department, email, phone, status, name, position, home, office). Insbesondere kann external_id manipuliert werden, um Abteilungen einer anderen Firma zuzuordnen.",Vor dem Update eine $request->validate([...]) mit den erlaubten Feldern durchführen (analog zu BrandDepartmentController) und anstatt $request->all() nur die validierten Felder übergeben.,hoch
167,crud,Vertrieb – Angebote,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Customer/Offer/OfferCommentController.php:44-56,OfferCommentController: fehlende Ownership-Prüfung bei Update und Delete,"update($id) und destroy($id) prüfen nur ob der Kommentar existiert (findOrFail), nicht ob der aktuell authentifizierte Benutzer der Ersteller ist. Jeder eingeloggte Mitarbeiter kann beliebige Kommentare anderer Mitarbeiter überschreiben oder löschen.",Auth-Check ergänzen: $comment = OfferComment::findOrFail($id); if($comment->employee_id !== auth()->user()->name) abort(403); Oder eine Policy einführen.,hoch
168,crud,Support – Tickets,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Ticket/TicketReportController.php:57-90,Fehlende Autorisierungsprüfung bei TicketReport Update/Delete,"Die Methoden update() und destroy() für TicketReport prüfen nicht, ob der eingeloggte Benutzer der Ersteller des Berichts ist (kein $report->employee_id == auth Prüfung). Im Gegensatz dazu prüft ProblemCommentController@update korrekt (Zeile 66: 'Unauthorized' wenn employee_id != auth). Jeder authentifizierte Mitarbeiter kann somit Berichte anderer Kollegen überschreiben oder löschen.","In TicketReportController@update und @destroy prüfen: if ($report->employee_id !== (int) auth()->user()->name) { return response()->json(['success' => false, 'message' => 'Unauthorized'], 403); }. Langfristig eine Policy (TicketReportPolicy) erstellen.",hoch
169,crud,Artikel,mittel,unverifiziert (mittel/niedrig),app/Models/Product.php:1-200,Product-Model ohne SoftDeletes trotz vieler Abhängigkeiten,"Products sind mit LeadProductLists, MasterSetComponents, DistributorPrices, ProductImages, ProductDocuments, Inventories verknüpft. Ein hartes Delete (destroy()) löscht den Produkt-Datensatz, alle Cascade-FKs des Schemas reißen verknüpfte Daten mit. Historische Angebote/Aufträge referenzieren dann ungültige Produkt-IDs.","SoftDeletes-Trait auf Product-Model aktivieren, Migration um deleted_at-Spalte ergänzen, Cascade-FKs auf RESTRICT umstellen und Restore-Funktion in der UI anbieten.",hoch
170,crud,Lager,mittel,unverifiziert (mittel/niedrig),routes/web.php:2716-2725,PurchaseRequest ohne Update-Route – CRUD unvollständig,"Für PurchaseRequest existieren Routen für index, list, analytics, show, store und destroy – aber kein Update-Endpunkt. Einmal gespeicherte Bestellanfragen können über die Applikation nicht editiert werden. Der User muss löschen und neu anlegen.","Route::put('/purchase_request_update/{id}', [PurchaseRequestController::class, 'update']) hinzufügen und eine entsprechende update()-Methode im Controller implementieren.",hoch
171,kausalitaet,CRM – Kommunikation,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/BitrixController.php:47 / 92,BitrixController.contact_list() und stage() rufen dd() auf – produktionsunfähig,"Beide öffentlich erreichbaren Methoden (contact_list, stage) enden ausschließlich mit dd($data). Jeder Aufruf dieser Routen bricht den Request mit einem Debugger-Dump ab. Die Methoden liefern keine nutzbare Antwort und können nicht für die eigentliche Funktion (Kontaktliste anzeigen) eingesetzt werden.","dd()-Aufrufe entfernen und durch eine echte Response ersetzen (return view(…) oder return response()->json(…)), oder die Routen bis zur Fertigstellung als 503 deklarieren.",hoch
172,kausalitaet,CRM – Leads & Kunden,mittel,unverifiziert (mittel/niedrig),"app/Http/Controllers/Customer/NewLeadsController.php:3337,11392,11612",Junk/Delete-Actor-Join auf employees.id schlägt fehl: Spalte speichert Namens-String,"destroyWithReason() speichert deleted_by = auth()->user()?->name ?? auth()->id() (L3337), also den Namens-String des Laravel-Auth-Users. deleted_lead() (L11612) versucht dann employees ON employees.id = new_leads.deleted_by zu joinen – dieser Join liefert NIE ein Ergebnis, da employees.id eine Integer-Spalte ist und deleted_by ein Namens-String. Gleiches Problem für junked_by/junk_actor (L3362, L11392). Die Anzeige des Lösch-/Junk-Akteurs in den Listen ist damit dauerhaft leer.","Entweder employee_id statt Namen in deleted_by/junked_by speichern (wenn User.name die Employee-ID ist, direkt (int)auth()->user()->name verwenden), oder als Spalten-Typ VARCHAR belassen und ohne JOIN direkt als Text anzeigen.",hoch
173,kausalitaet,Vertrieb – Aufträge & Rechnungen,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Customer/Deal/DealMeasurementController.php:470–472,Feinaufmaß wird bei Erstellung aus Auftrag sofort auf status='sent' gesetzt ohne explizite Nutzeraktion,"storeFromDeal() setzt beim Anlegen eines neuen DealMeasurement den Status auf 'sent' und sent_at auf now(), sobald ein OfferDetail vorhanden ist. Der Benutzer hat diesen Versand zu keinem Zeitpunkt bestätigt. Damit erscheint ein gerade erzeugtes Feinaufmaß in der Kanban-Übersicht sofort als 'gesendet', was die Planung verfälscht und Statushistorien korrumpiert.","Status initial immer auf 'draft' setzen und sent_at/sent_by nur setzen, wenn der Benutzer eine explizite Sende-Aktion auslöst (z.B. eigener POST-Endpunkt deal.measurements.send mit getrenntem Workflow-Schritt).",hoch
174,kausalitaet,Projekte & Planer,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Appointment/MainAppointmentController.php:1534,Appointment destroy(): Status-Update nach Soft-Delete – falsche Reihenfolge,"`$data->delete()` wird aufgerufen (Z. 1534), was `deleted_at` setzt (SoftDelete). Anschließend wird `$data->update(['status' => 'GELÖSCHT'])` aufgerufen (Z. 1536). Da das Modell-Objekt die `deleted_at` bereits gesetzt hat, arbeitet das Update intern zwar auf der Instanz, bei einem Reload würde `withoutTrashed()` diesen Datensatz nicht mehr finden. Der Status `'GELÖSCHT'` ist außerdem redundant, wenn `deleted_at` als kanonisches Lösch-Signal dient. Die gesamte Löschaktion läuft zudem ohne `DB::transaction`.","Reihenfolge umkehren: zuerst Status setzen, dann `delete()`. Besser: Status-Feld ganz entfernen und stattdessen `deleted_at` als einzige Quelle der Wahrheit verwenden. Beide Operationen in `DB::transaction()` einwickeln.",hoch
175,kausalitaet,Support – Tickets,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Ticket/ProblemController.php:1592-1594,ProblemController@updateStatus akzeptiert beliebige Status-Strings,"Die Methode updateStatus (Route POST /ticket/{problem}/update-status) validiert 'status' nur als string max:255, ohne Enum-Einschränkung. Zwar normalisiert normalizeTicketStatus() einige Werte (Zeile 2741), aber unbekannte Werte werden ungefiltert gespeichert (default-Zweig: $status ?: 'offen'). Die Kanban-Route ticket/kanban/update dagegen validiert korrekt mit in:offen,open,process,end,junk (Zeile 1449). Dadurch können beliebige Status-Strings wie 'deleted' oder 'hacked' persistent in der Datenbank landen.","In updateStatus() die Validierung angleichen: 'status' => ['required', 'string', 'in:offen,process,end,junk']. Alternativ normalizeTicketStatus() so ändern, dass ungültige Werte eine ValidationException werfen.",hoch
176,kausalitaet,Finanzen,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/BranchExpenseController.php:203-213,BranchExpense: Gespeicherte Summenfelder werden nie aktualisiert,"Die Tabelle branch_expenses hat Spalten rent_total, insurance_total, employee_total, installment_total, other_total, total (aus Migration 2026_06_16_000001). validatePayload() überträgt diese Felder nie. Weder BranchExpenseRentController noch BranchExpenseInsuranceController schreiben nach Add/Update/Delete der Unterposten zurück in die Elterntabelle. Die DB-Spalten bleiben dauerhaft 0, obwohl der Controller die Werte dynamisch berechnet und korrekt in der API zurückgibt – Inkonsistenz zwischen DB und berechneter Realität.","Nach jeder Änderung an Unterposten (Rents, Insurances, OtherCosts) ein Model-Observer oder Methode aufrufen, die den BranchExpense-Parent mit den aggregierten Summen aktualisiert.",hoch
177,kausalitaet,Admin & System,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Phase/TaskPhaseController.php:1042,resequenceActivities() ignoriert NULL-parentId durch redundante Bedingung,"->where($parentId === null ? 'parent_id' : 'parent_id', $parentId) – Beide Zweige des ternären Ausdrucks liefern den String 'parent_id'. Bei parentId === null sollte ->whereNull('parent_id') verwendet werden, stattdessen wird ->where('parent_id', null) generiert, was als WHERE parent_id IS NULL oder WHERE parent_id = '' interpretiert wird (DB-abhängig). Die Methode sortiert daher beim Verschieben von Top-Level-Aktivitäten möglicherweise die falsche Teilmenge neu.","Bedingung korrigieren: if ($parentId === null) { $q->whereNull('parent_id'); } else { $q->where('parent_id', $parentId); }",hoch
178,kausalitaet,PersonalTask,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Task/PersonalTaskController.php:1022-1036,N einzelne EmployeesPersonalTask::create in foreach beim Zuweisen von Aufgaben,"Beim Speichern einer Aufgabenzuweisung wird für jeden Mitarbeiter in $allEmployeeIds ein einzelnes EmployeesPersonalTask::create() ausgeführt (Zeile 1023). Dasselbe Muster findet sich an Zeile 860, 1421 und 5681-5682. Gleiche Schwachstelle in MainAppointmentController Zeile 608-613 (MainAppointmentEmployee::create pro Mitarbeiter).",Array der zu erstellenden Rows aufbauen und mit DB::table('employees_personal_tasks')->insert($rows) bzw. EmployeesPersonalTask::insert() in einem Schritt schreiben.,hoch
179,konsistenz,Dashboard & Berichte,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Report/OverdueCenterController.php:1355-1366,"Inkonsistentes Antwortformat zwischen overdue-Typen: Appointments fehlen status_raw, priority_raw, changed_summary, meta","overdueInquiries() und overdueTasks() liefern status_raw, priority_raw, changed_summary und meta im JSON-Objekt. overdueAppointments() (Zeile 1355) liefert nur status (bereits übersetzt), priority (Rohwert), kein status_raw, kein changed_summary, kein meta. Dadurch muss das Frontend Sonderfälle pro Typ behandeln.","Alle overdue*()-Methoden auf ein einheitliches Response-Schema vereinheitlichen: type, id, title, subtitle, status_raw, status, priority_raw, priority, due_at, last_activity_at, overdue_hours, progress_pct, changed_summary, link, meta.",hoch
180,konsistenz,Dashboard & Berichte,mittel,unverifiziert (mittel/niedrig),"app/Http/Controllers/Report/OverdueCenterController.php:1251,1316,1364,1461,1568","progress_pct ist in allen overdue-Typen willkürlich hartcodiert (25, 30, 35, 40)","Das Feld progress_pct enthält für Inquiries=25, Tasks=30, Appointments=40, Tickets=35, Leads=35. Diese Werte sind ohne Berechnungsgrundlage im Code fixiert und spiegeln keinen tatsächlichen Fortschritt wider. Das führt zu irreführenden Darstellungen im Frontend.","Entweder progress_pct aus real vorhandenen Daten (z.B. erledigte Schritte / Gesamtschritte) berechnen oder das Feld aus der API-Antwort entfernen, wenn kein valider Wert verfügbar ist.",hoch
181,konsistenz,CRM – Kommunikation,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Email/LeadEmailReaderController.php:385-400 / app/Http/Controllers/Email/LeadEmailAccountsController.php:44-54,Inkonsistente Statuscodes und Response-Struktur bei mark-read,"LeadEmailReaderController::markAsRead() gibt {'status':'ok', 'unread_count':…} zurück; LeadEmailAccountsController::markEmailAsRead() gibt {'success':true} zurück (ohne unread_count). Beide Routen existieren parallel (lead.email.mark.read und lead-emails.mark-read) und werden teilweise im gleichen View aufgerufen. Die JS-Seite nutzt markResponse.unread_count (Zeile 1038), was bei der zweiten Route undefined ergibt.","Einen einzigen mark-as-read Endpunkt mit einheitlichem Response-Format {success: bool, unread_count: int} verwenden.",hoch
182,konsistenz,CRM – Anfragen,mittel,unverifiziert (mittel/niedrig),routes/web.php:3998-4010 vs. 4021-4064,"Parallele alte (inquiry_save, inquiry_update, inquiry_delete) und neue REST-Routen fuer dieselbe Ressource","Fuer dieselbe Inquiry-Ressource existieren gleichzeitig das alte URL-Schema (POST /inquiry_save, POST /inquiry_update, GET /inquiry_delete/{id}, GET /inquiry_edit/{id}) und ein moderneres Schema (POST /inquiries/start-draft, DELETE /inquiries/{inquiry}/discard, POST /inquiries/{inquiry}/finalize, POST /inquiries/bulk-delete). Beide Welten sind aktiv und referenzieren denselben Controller. Das erzeugt Verwirrung im Code, im Frontend und erschwert Sicherheits-Audits.","Schrittweise Migration auf REST-konforme Routen. Alte Routen deprecated markieren (Logging), dann nach Abloesung entfernen. In der Zwischenzeit beide Routen auf dieselbe Controller-Methode zeigen lassen.",hoch
183,konsistenz,CRM – Leads & Kunden,mittel,unverifiziert (mittel/niedrig),routes/web.php:842,Routen-URI-Tippfehler: /wating_leads statt /waiting_leads,"Die Route für die Warte-Leads-Liste ist als /wating_leads registriert (L842, ein 'i' fehlt), obwohl die Methode waiting_leads() heißt. Der Route-Name lautet waiting.loop.leads. In URLs, Navigations-Links und E-Mails die auf diese Seite verweisen muss der Tippfehler bewusst repliziert werden, was zu Verwirrung führt.",Route auf /waiting_leads umbenennen und einen permanenten Redirect von /wating_leads auf /waiting_leads für bereits gesendete Links registrieren.,hoch
184,konsistenz,CRM – Partner,mittel,unverifiziert (mittel/niedrig),resources/views/admin/product/brand/brand.blade.php:40-42,Statistische Kennzahlen in Blade-Views auf Seitensubset statt Gesamtdaten,"Die Statistikkacheln 'Veröffentlicht', 'Unveröffentlicht' und 'Mit Typ' werden über $items berechnet, das nur die Einträge der aktuellen Seite enthält (max. 20). Lediglich 'Gesamt' nutzt $data->total(). Das führt dazu, dass die angezeigten Zahlen beim Blättern variieren und nie das korrekte Gesamtbild widerspiegeln. Das gleiche Problem tritt in contacts.blade.php (Zeilen 17-21) auf.",Statistiken entweder über eine separate COUNT-Abfrage im Controller berechnen oder die Fehlerweisung im UI klarstellen ('Auf dieser Seite: X von Y').,hoch
185,konsistenz,Vertrieb – Angebote,mittel,unverifiziert (mittel/niedrig),app/Http/Controllers/Customer/Offer/OfferController.php:610-615 und :1491-1493,"Inkonsistente Fehlerantworten: Interne Exception-Details (Datei, Zeile) im JSON an den Client",In data() Zeile 613 werden 'file' => $e->getFile() und 'line' => $e->getLine() in der JSON-Fehlerantwort an den Browser gesendet. In storeFolder() Zeile 1493 wird 'line' => $e->getLine() zurückgegeben. Diese Informationen geben Angreifern Einblick in Serverpfade und Codestruktur. Andere Fehlerantworten im selben Modul enthalten diese Felder nicht – inkonsistentes Verhalten.,"Exception-Details nur im Log ausgeben (report($e) ist schon vorhanden), nie im API-Response. errorResponse() anpassen, sodass 'file' und 'line' nur bei APP_DEBUG=true enthalten sind.",hoch
